id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
145951.0,2018-07-11,quarta-feira,18:50:00,SC,282,3.0,FLORIANOPOLIS,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Curva,Sim,2,0,1,0,1,0,1,2,-27.600384,-48.599705,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
146091.0,2018-07-12,quinta-feira,06:35:00,SC,282,22.4,SANTO AMARO DA IMPERATRIZ,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-27.68921694,-48.73097849,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2018
146172.0,2018-07-12,quinta-feira,17:30:00,SC,282,2.7,SAO JOSE,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Anoitecer,Decrescente,Nublado,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-27.603289,-48.590416,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
146293.0,2018-07-13,sexta-feira,09:40:00,SC,282,1.0,FLORIANOPOLIS,Não guardar distância de segurança,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Curva,Sim,3,0,1,0,1,1,1,3,-27.60289462,-48.580513,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
146300.0,2018-07-13,sexta-feira,06:30:00,SC,282,394.0,JOACABA,Pista Escorregadia,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Curva,Não,2,0,1,0,1,0,1,1,-27.1616658,-51.57061547,SPRF-SC,DEL07-SC,UOP05-DEL07-SC,2018
146345.0,2018-07-13,sexta-feira,13:00:00,SC,282,179.9,BOCAINA DO SUL,Falta de Atenção à Condução,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,1,0,0,0,1,0,0,1,-27.74211253,-49.93844032,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2018
146418.0,2018-07-13,sexta-feira,19:35:00,SC,282,5.0,SAO JOSE,Falta de Atenção à Condução,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,2,0,0,0,2,2,-27.599063,-48.6005422,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
146608.0,2018-07-14,sábado,11:40:00,SC,480,125.7,CHAPECO,Ingestão de Álcool,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Dupla,Declive,Sim,3,0,0,0,2,1,0,3,-27.01896132,-52.63646364,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2018
146621.0,2018-07-14,sábado,13:20:00,SC,282,492.7,FAXINAL DOS GUEDES,Desobediência às normas de trânsito pelo pedestre,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,2,0,1,0,1,0,1,1,-26.87243019,-52.29466438,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2018
146650.0,2018-07-14,sábado,15:00:00,SC,282,70.3,RANCHO QUEIMADO,Velocidade Incompatível,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,3,2,0,0,0,1,0,3,-27.69006625,-49.09089875,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2018
146670.0,2018-07-14,sábado,19:45:00,SC,282,5.0,SAO JOSE,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,2,0,1,0,2,2,-27.59002997,-48.60981161,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2018
146702.0,2018-07-14,sábado,22:10:00,SC,282,573.0,NOVA ERECHIM,Ingestão de Álcool,Colisão frontal,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,-26.89028584,-52.93281734,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2018
146846.0,2018-07-15,domingo,17:40:00,SC,282,652.9,SAO MIGUEL DO OESTE,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Aclive;Curva,Não,1,0,1,0,0,0,1,1,-26.70931178,-53.51953712,SPRF-SC,DEL07-SC,UOP03-DEL07-SC,2018
146855.0,2018-07-15,domingo,09:40:00,SC,282,215.3,LAGES,Velocidade Incompatível,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Sim,1,0,0,0,1,0,0,1,-27.79426872,-50.28466523,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2018
146869.0,2018-07-15,domingo,18:45:00,SC,282,25.7,SANTO AMARO DA IMPERATRIZ,Falta de Atenção à Condução,Colisão lateral,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Curva,Não,2,0,0,0,2,0,0,2,-27.678228,-48.752895,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,2018
146905.0,2018-07-15,domingo,19:30:00,SC,282,214.7,LAGES,Ingestão de Álcool,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-27.78880175,-50.2701937,SPRF-SC,DEL05-SC,UOP01-DEL05-SC,2018
146916.0,2018-07-15,domingo,20:05:00,SC,282,579.3,PINHALZINHO,Ingestão de Álcool,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,0,1,0,0,1,-26.835443,-52.990578,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,2018
