id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo
"666141,0",2025-03-09,domingo,13:40:00,SC,470,"138,7",RIO DO SUL,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Sim,2,0,0,1,1,0,1,2,-27.19767078,-49.6283083,SPRF-SC,DEL04-SC,UOP02-DEL04-SC,2025
"666158,0",2025-03-09,domingo,15:45:00,SC,101,"107,9",PENHA,Ingestão de álcool pelo condutor,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,5,0,0,0,5,0,0,2,-26.82035076,-48.68405342,SPRF-SC,DEL03-SC,UOP02-DEL03-SC,2025
"666163,0",2025-03-09,domingo,16:00:00,SC,101,"38,0",JOINVILLE,Mal súbito do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Reta,Sim,2,0,1,0,1,0,1,1,-26.2987192,-48.8833862,SPRF-SC,DEL03-SC,UOP01-DEL03-SC,2025
"666170,0",2025-03-09,domingo,16:30:00,SC,101,"223,0",PALHOCA,Trafegar com motocicleta (ou similar) entre as faixas,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,4,0,2,0,1,1,2,3,-27.72122887,-48.64518274,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2025
"666179,0",2025-03-09,domingo,15:40:00,SC,101,"367,0",ICARA,Avarias e/ou desgaste excessivo no pneu,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Não,3,0,2,0,1,0,2,1,-28.6972885,-49.17772293,SPRF-SC,DEL02-SC,UOP01-DEL02-SC,2025
"666182,0",2025-03-09,domingo,18:00:00,SC,282,"16,5",PALHOCA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Simples,Reta,Sim,2,0,1,0,1,0,1,2,-27.66278614,-48.68543029,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2025
"666186,0",2025-03-09,domingo,17:40:00,SC,470,"96,9",APIUNA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,4,0,2,0,2,0,2,2,-27.02741014,-49.37981129,SPRF-SC,DEL04-SC,UOP01-DEL04-SC,2025
"666191,0",2025-03-09,domingo,18:00:00,SC,101,"121,3",ITAJAI,Ausência de reação do condutor,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Dupla,Reta,Não,2,0,0,2,0,0,2,2,-26.93200317,-48.70327497,SPRF-SC,DEL04-SC,UOP04-DEL04-SC,2025
"666206,0",2025-03-09,domingo,17:00:00,SC,101,"404,5",ARARANGUA,Condutor deixou de manter distância do veículo da frente,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Reta,Não,7,0,3,0,4,0,3,3,-28.89772392,-49.47323447,SPRF-SC,DEL02-SC,UOP02-DEL02-SC,2025
"666211,0",2025-03-09,domingo,19:00:00,SC,101,"208,3",SAO JOSE,Ausência de reação do condutor,Engavetamento,Sem Vítimas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim,3,0,0,0,3,0,0,3,-27.605099,-48.63429,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,2025
"666231,0",2025-03-09,domingo,18:45:00,SC,153,"99,0",CONCORDIA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Nublado,Simples,Reta,Sim,5,0,1,0,4,0,1,2,-27.24188861,-51.95227772,SPRF-SC,DEL07-SC,UOP04-DEL07-SC,2025
"666247,0",2025-03-09,domingo,21:30:00,SC,101,"222,3",PALHOCA,Pedestre andava na pista,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,2,0,1,0,0,1,1,2,-27.71293822,-48.65080833,SPRF-SC,DEL01-SC,UOP02-DEL01-SC,2025
"666248,0",2025-03-09,domingo,19:00:00,SC,280,"95,2",CORUPA,Pista Escorregadia,Colisão frontal,Com Vítimas Fatais,Plena Noite,Crescente,Garoa/Chuvisco,Simples,Curva;Declive,Não,4,1,1,0,1,1,1,3,-26.382731,-49.31461,SPRF-SC,DEL06-SC,UOP03-DEL06-SC,2025
"666253,0",2025-03-09,domingo,19:40:00,SC,101,"371,0",ICARA,Chuva,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,1,0,1,0,0,0,1,1,-28.75411551,-49.2760849,SPRF-SC,DEL02-SC,UOP01-DEL02-SC,2025
"666287,0",2025-03-10,segunda-feira,02:20:00,SC,101,"133,0",BALNEARIO CAMBORIU,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,3,0,0,2,1,0,2,1,-26.99890627,-48.64741433,SPRF-SC,DEL04-SC,UOP03-DEL04-SC,2025
"666310,0",2025-03-10,segunda-feira,06:43:00,SC,282,"556,0",NOVA ITABERABA,Demais Fenômenos da natureza,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,3,0,1,0,2,0,1,2,-26.930626,-52.82489955,SPRF-SC,DEL07-SC,UOP01-DEL07-SC,2025
"666320,0",2025-03-10,segunda-feira,07:30:00,SC,101,"97,0",BALNEARIO PICARRAS,Avarias e/ou desgaste excessivo no pneu,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Sim,2,0,2,0,0,0,2,1,-26.7319797,-48.70131601,SPRF-SC,DEL03-SC,UOP02-DEL03-SC,2025
"666326,0",2025-01-26,domingo,22:45:00,SC,116,"135,0",SANTA CECILIA,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Garoa/Chuvisco,Simples,Curva,Não,2,0,2,0,0,0,2,1,-26.92904296,-50.4345818,SPRF-SC,DEL06-SC,UOP02-DEL06-SC,2025
